State,County,inf_total,inf_mar,inf_apr,inf_may,inf_jun,inf_jul,inf_aug,inf_sep_13,inf_by_pop,death_mar,death_apr,death_may,death_jun,death_jul,death_aug,death_sep,deaths,death_rate_by_pop,Demographics,total_pop,perc_non_white,med_income,perc_below_poverty_level,unemployment,Voting,num_polls,polls_per_person,early_vote_duration,same_day_reg,vra_provision,Election,perc_trump_2020,perc_rep_gov_2020,gov_rep_incumbent_2020,2020_turnout,2020_registered,perc_trump_2016,perc_rep_gov_2016,gov_incumbent_2016,2016_turnout,2016_registered,difference_turnout_2020_minus_2016,difference_trump_perc_2020_minus_2016,difference_gop_gov_perc_2020_minus_2016
North Carolina,Person,383,2,20,48,106,189,323,383,0.0097344,0,1,1,1,2,5,6,6,0.0001525,,39345,0.299669,42317,0.148,0.06,,15,0.000382,16,0,1,,0.6022,0.5638,1,0.791,27784,0.5703,0.5531,0,0.7325,26945,0.0585,0.0319,0.0107
North Carolina,Pitt,4294,27,123,304,696,1699,3529,4294,0.0240651,0,2,2,6,11,19,25,25,0.00014011,,178433,0.4018491,40718,0.232,0.062,,47,0.0002653,16,0,1,,0.4451,0.4258,1,0.7115,123513,0.4432,0.4591,0,0.6608,122420,0.0507,0.0019,-0.0333
North Carolina,Polk,251,3,20,37,73,132,227,251,0.01221,0,0,4,4,5,7,7,7,0.00034052,,20557,0.0714706,44745,0.118,0.054,,10,0.0004899,16,0,0,,0.6222,0.5919,1,0.7588,16350,0.619,0.5776,0,0.6841,16076,0.0747,0.0032,0.0143
North Carolina,Randolph,2584,17,185,664,1174,2026,2417,2584,0.018055,0,3,13,29,36,43,49,49,0.00034238,,143118,0.1071563,41208,0.138,0.059,,26,0.0001817,16,0,0,,0.776,0.7293,1,0.7743,94905,0.7655,0.7222,0,0.6962,93201,0.0781,0.0105,0.0071
North Carolina,Richmond,819,0,47,163,278,475,672,819,0.0182012,0,2,3,6,8,11,12,12,0.00026668,,44997,0.3815649,32384,0.199,0.082,,20,0.0004443,16,0,0,,0.5698,0.5206,1,0.7095,29385,0.5372,0.5153,0,0.6353,30586,0.0742,0.0326,0.0053
North Carolina,Robeson,4040,3,157,824,1236,2563,3539,4040,0.0304685,0,3,22,39,51,60,66,66,0.00049775,,132596,0.6883711,29806,0.245,0.083,,45,0.0003374,16,0,1,,0.5893,0.5127,1,0.6183,76784,0.5082,0.5297,0,0.5421,75940,0.0762,0.0811,-0.017
North Carolina,Rockingham,1066,1,26,94,231,450,813,1066,0.0117044,0,2,2,2,3,8,11,11,0.00012078,,91077,0.2211526,38567,0.179,0.069,,19,0.0002081,16,0,1,,0.6547,0.6063,1,0.7779,61624,0.6346,0.591,0,0.7003,60716,0.0776,0.0201,0.0153
North Carolina,Rowan,3049,24,381,658,1222,1985,2805,3049,0.0217326,1,22,37,43,50,64,81,81,0.00057735,,140296,0.2008966,41495,0.163,0.063,,47,0.0003371,16,0,0,,0.6715,0.6375,1,0.7559,97443,0.6651,0.637,0,0.6791,95195,0.0768,0.0064,0.0005
North Carolina,Rutherford,1051,5,139,182,308,654,995,1051,0.015781,0,6,7,9,14,24,24,24,0.00036037,,66599,0.1276589,36334,0.191,0.074,,20,0.0003017,16,0,0,,0.723,0.6838,1,0.7517,45948,0.7216,0.6577,0,0.6767,45046,0.075,0.0014,0.0261
North Carolina,Sampson,1696,1,63,479,1040,1411,1609,1696,0.0267571,0,0,4,6,12,21,22,22,0.00034709,,63385,0.3334282,36496,0.228,0.051,,28,0.0004429,16,0,0,,0.6084,0.5748,1,0.7547,38096,0.5723,0.5796,0,0.6891,37834,0.0656,0.0361,-0.0048
North Carolina,Scotland,820,2,24,85,137,263,659,820,0.0233778,0,0,0,0,2,8,12,12,0.00034211,,35076,0.5462064,29592,0.269,0.105,,11,0.0003115,16,0,1,,0.5058,0.4657,1,0.674,22041,0.4492,0.4468,0,0.6093,22696,0.0647,0.0566,0.0189
North Carolina,Stanly,1713,5,29,78,378,866,1490,1713,0.0278139,0,4,4,5,11,31,52,52,0.00084432,,61588,0.1575971,42518,0.132,0.051,,27,0.0004439,16,0,0,,0.7501,0.7104,1,0.7926,42963,0.7342,0.7061,0,0.736,40892,0.0566,0.0159,0.0043
North Carolina,Stokes,387,0,11,67,125,248,331,387,0.0084533,0,0,0,1,3,3,3,3,0.0000655,,45781,0.0619774,42703,0.121,0.055,,23,0.0005009,16,0,0,,0.7837,0.734,1,0.8114,31796,0.759,0.7,0,0.7272,31214,0.0842,0.0247,0.034
North Carolina,Surry,1240,2,13,214,470,845,1157,1240,0.0172292,0,0,2,2,7,16,20,20,0.00027789,,71971,0.0663815,35641,0.16,0.052,,33,0.0004583,16,0,0,,0.7516,0.6931,1,0.7796,47193,0.7352,0.6796,0,0.7062,45867,0.0734,0.0164,0.0135
North Carolina,Swain,135,0,3,13,51,103,131,135,0.009467,0,0,0,0,2,3,3,3,0.00021038,,14260,0.361945,36094,0.152,0.05,,7,0.0004933,16,0,0,,0.5887,0.5473,1,0.7045,10088,0.5824,0.5138,0,0.5885,10544,0.116,0.0063,0.0335
North Carolina,Transylvania,292,5,7,13,22,121,248,292,0.0086454,0,0,0,1,1,2,6,6,0.00017765,,33775,0.0654628,41781,0.128,0.049,,17,0.0005091,16,0,0,,0.5703,0.5314,1,0.7731,26513,0.5887,0.5402,0,0.7043,25540,0.0688,-0.0184,-0.0088
North Carolina,Tyrrell,110,0,4,4,10,90,107,110,0.026862,0,0,0,0,1,2,2,2,0.0004884,,4095,0.417495,34216,0.252,0.081,,7,0.0017396,16,0,0,,0.5746,0.5411,1,0.7697,2371,0.5607,0.5749,0,0.7078,2474,0.0619,0.0139,-0.0338
North Carolina,Union,4371,42,240,442,1201,2727,4008,4371,0.0189177,0,9,20,25,41,52,56,56,0.00024237,,231053,0.1752748,65892,0.07,0.05,,59,0.0002607,16,0,0,,0.6136,0.5925,1,0.7814,168233,0.631,0.6353,0,0.7047,150955,0.0767,-0.0174,-0.0428
North Carolina,Vance,981,4,88,317,502,721,911,981,0.0220554,0,6,21,36,40,42,43,43,0.00096675,,44479,0.5431044,34987,0.263,0.091,,15,0.0003372,16,0,1,,0.3996,0.3632,1,0.71,29702,0.367,0.3719,0,0.663,30254,0.047,0.0326,-0.0087
North Carolina,Wake,16396,192,821,1747,5178,10913,15173,16396,0.0153366,0,17,39,47,128,201,213,213,0.00019924,,1069079,0.3137995,66006,0.084,0.052,,222,0.0002118,16,0,1,,0.358,0.3322,1,0.7985,794494,0.3716,0.3786,0,0.7532,705903,0.0453,-0.0136,-0.0464
North Carolina,Warren,300,0,10,63,161,238,288,300,0.0150769,0,0,2,5,6,6,7,7,0.00035179,,19898,0.5934923,34285,0.198,0.087,,15,0.0007544,16,0,0,,0.3645,0.3397,1,0.7647,13531,0.3264,0.6608,0,0.7204,13725,0.0443,0.0381,-0.3211
North Carolina,Washington,195,2,24,29,38,114,177,195,0.0163563,0,2,3,3,3,6,7,7,0.00058715,,11922,0.5194698,34936,0.211,0.079,,7,0.00058,16,0,1,,0.4482,0.4237,1,0.7495,8315,0.416,0.4366,0,0.7064,8760,0.0431,0.0322,-0.0129
